# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.720000000    2.044785206    2.044785061    0.001207912
    3.730000000    2.079374507    2.079374332    0.001212437
    3.740000000    2.143613969    2.143613755    0.001216975
    3.750000000    2.246073169    2.246072891    0.001221526
    3.760000000    2.398985077    2.398984715    0.001226089
    3.770000000    2.606288185    2.606287743    0.001230665
    3.780000000    2.853313086    2.853312607    0.001235254
    3.790000000    3.102567777    3.102567339    0.001239855
    3.800000000    3.304055950    3.304055636    0.001244470
    3.810000000    3.420197684    3.420197536    0.001249097
    3.820000000    3.443211135    3.443211140    0.001253738
    3.830000000    3.389810735    3.389810852    0.001258391
    3.840000000    3.288693618    3.288693790    0.001263058
    3.850000000    3.173568866    3.173569034    0.001267738
    3.860000000    3.074809714    3.074809837    0.001272431
    3.870000000    3.007983271    3.007983336    0.001277138
    3.880000000    2.971833084    2.971833100    0.001281858
    3.890000000    2.962405652    2.962405616    0.001286592
    3.900000000    2.988277741    2.988277626    0.001291340
    3.910000000    3.067800978    3.067800755    0.001296101
    3.920000000    3.212093513    3.212093178    0.001300875
    3.930000000    3.410252232    3.410251824    0.001305664
    3.940000000    3.626332638    3.626332236    0.001310467
    3.950000000    3.813127164    3.813126846    0.001315283
    3.960000000    3.938353849    3.938353652    0.001320114
    3.970000000    4.001278078    4.001277980    0.001324959
    3.980000000    4.025897651    4.025897598    0.001329818
    3.990000000    4.044088281    4.044088213    0.001334692
    4.000000000    4.082745194    4.082745070    0.001339579
    4.010000000    4.156987315    4.156987122    0.001344482
    4.020000000    4.268341490    4.268341243    0.001349398
    4.030000000    4.403981667    4.403981406    0.001354330
    4.040000000    4.536847465    4.536847244    0.001359276
    4.050000000    4.634914589    4.634914454    0.001364237
    4.060000000    4.676473238    4.676473212    0.001369213
    4.070000000    4.657164982    4.657165059    0.001374204
    4.080000000    4.586676389    4.586676545    0.001379209
    4.090000000    4.481764808    4.481765012    0.001384230
    4.100000000    4.359108947    4.359109172    0.001389267
    4.110000000    4.231700444    4.231700672    0.001394318
    4.120000000    4.108416560    4.108416781    0.001399385
    4.130000000    3.992567976    3.992568185    0.001404467
    4.140000000    3.881019472    3.881019671    0.001409565
    4.150000000    3.767992159    3.767992350    0.001414679
    4.160000000    3.649414627    3.649414812    0.001419808
    4.170000000    3.524441565    3.524441740    0.001424953
    4.180000000    3.398218110    3.398218261    0.001430114
    4.190000000    3.283234701    3.283234808    0.001435291
    4.200000000    3.191225960    3.191226022    0.001440484
    4.210000000    3.119904699    3.119904741    0.001445693
    4.220000000    3.052428274    3.052428331    0.001450918
    4.230000000    2.972697292    2.972697381    0.001456160
    4.240000000    2.876186125    2.876186247    0.001461418
    4.250000000    2.766894740    2.766894885    0.001466693
    4.260000000    2.653048247    2.653048400    0.001471984
